aa-lsm-hook                                   - AppArmor system integration
aalib                                         - AAlib is an portable ascii art GFX library
abseil-cpp                                    - Abseil Common Libraries
accountsservice                               - D-Bus service for accessing user accounts and information
acl                                           - Access control list shared library
adw-gtk3-theme                                - An unofficial GTK3 port of libadwaita
adwaita-icon-theme                            - The Adwaita Icon Theme package contains an assortment of non-scalable icons of different sizes and themes.
adwaita-icon-theme-legacy                     - A fullcolor icon theme providing fallback for legacy apps
alembic                                       - Framework for storing and sharing scene data
alsa-firmware                                 - ALSA Firmware for certain sound cards
alsa-lib                                      - The ALSA Sound Interface
alsa-plugins                                  - Plugins for various sound servers
alsa-utils                                    - Various utilities which are useful for controlling your sound card
antidote                                      - Antidote is a Zsh plugin manager made from the ground up thinking about performance.
aom                                           - AV1 codec
apparmor                                      - AppArmor LSM user-space component
appstream                                     - Tools and libraries to work with AppStream metadata
appstream-data                                - AppStream data for Solus
appstream-glib                                - This library provides objects and helper methods to help reading and writing AppStream metadata.
appstream-qt6                                 - Tools and libraries to work with AppStream metadata. - Qt6 bindings
aqbanking                                     - AqBanking is a library for online banking and financial applications
argon2                                        - The password hash Argon2, winner of PHC
aria2                                         - aria2 is a lightweight multi-protocol & multi-source command-line download utility.
assimp                                        - Open Asset Import Library
at-spi2                                       - Accessibility toolkit
at-spi2-devel                                 - Development files for at-spi2
atkmm                                         - C++ bindings to atk
attica                                        - Open Collaboration Service client library.
attr                                          - Extended attribute shared library
audit                                         - audit daemon and libraries
autoconf                                      - Autoconf is an extensible package of M4 macros that produce shell scripts to automatically configure software source code packages.
automake                                      - Automake is a tool for automatically generating `Makefile.in' files compliant with the GNU Coding Standards
avahi                                         - mDNS/DNS-SD service discovery
babl                                          - babl is a dynamic, any to any, pixel format translation library
baobab                                        - Check folder sizes and available disk space
baselayout                                    - Filesystem baselayout
bash                                          - bash (sh-compatible shell)
bash-completion                               - Programmable Completion for Bash
bc                                            - The GNU bc arbitrary precision calculator language
bdwgc                                         - Boehm-Demers-Weiser Garbage Collector
bind-utils                                    - Client side programs nslookup, dig and host.
binutils                                      - Binutils contains a linker, an assembler, and other tools for handling object files
binutils-libs                                 - Runtime libraries for binutils
blender                                       - A fully integrated 3D graphics creation suite
blosc                                         - A blocking, shuffling and loss-less compression library that can be faster than `memcpy()`
bluez                                         - Official Linux Bluetooth protocol stack.
bolt                                          - Thunderbolt device manager
boomaga                                       - Boomaga (BOOklet MAnager) is a virtual printer for viewing a document before printing it out using the physical printer
botan2                                        - Crypto and TLS library for C++11
breeze                                        - Artwork, styles and assets for the Breeze visual style for the Plasma Desktop
breeze-cursor-theme                           - Breeze cursor theme
breeze-icons                                  - Breeze icon theme
brotli                                        - Brotli compression format
brotli-devel                                  - Development files for brotli
btop                                          - btop is a monitor of system resources.
btrbk                                         - Tool for creating snapshots and remote backups of btrfs subvolumes
btrfs-progs                                   - Utilities for managing btrfs filesystems
btrfs-progs-libbtrfs                          - Library for managing btrfs filesystems
bubblewrap                                    - Unprivileged sandboxing tool
busybox                                       - Statically linked binary providing simplified versions of system commands
bzip2                                         - High-quality block-sorting file compressor - utilities
bzip2-devel                                   - Development files for bzip2
c-ares                                        - C library that performs DNS requests and name resolves asynchronously
ca-certs                                      - Certificate Authority Files
cairomm                                       - C++ bindings to Cairo
cairomm-1.16                                  - C++ bindings to cairo.
calf                                          - LV2 plug-in suite and standalone JACK host
canon-ufriilt-common                          - Canon UFRII LT Printer Driver for Linux
capstone                                      - Disassembly/disassembler framework
cargo-c                                       - Build and install C-compatible libraries
celluloid                                     - A simple GTK+ frontend for MPV
celt                                          - CELT is a very low delay audio codec designed for high-quality communications.
ceres-solver                                  - A nonlinear least squares minimizer
chromaprint                                   - Audio source fingerprint extraction library
cjson                                         - Ultralightweight JSON parser in ANSI C
clr-boot-manager                              - Kernel & Boot Loader Management
cmake                                         - CMake is a cross-platform, open-source build system.
coinmp                                        - A lightweight API for CLP, CBC, and CGL
colord                                        - Color Daemon
comar                                         - Manages system configuration
comar-api                                     - Utility functions for Comar scripts
conky                                         - Lightweight system monitor for X
conky-manager                                 - Conky Manager 2 - a newer conky config manager
coreutils                                     - GNU core utilities
cpio                                          - A program to manage archives of files
cracklib                                      - A ProActive Password Sanity Library
cryptopp                                      - Crypto++ Library is a free C++ class library of cryptographic algorithms and schemes
cryptsetup                                    - Utility to setup disk encryption using DMCrypt
cups                                          - The Common Unix Printing System
